modelo,MAE,RMSE,R2
Random Forest,147.2617675396824,227.11685759090167,0.9257507364108348
Linear Regression,226.5852275240429,307.1690616146936,0.8641848081820988
Lasso (alpha=0.05),226.5465829724999,307.2665634098285,0.8640985734121198
Ridge (alpha=1.0),225.40820460287682,307.99148165884003,0.8634565664416276
